,person,herkunft,lebensdaten,karriere
647,Kametaka Tokuhei 亀高徳平,Okayama-ken,Jan. 1872–27.11.1920,"SS 1908–WS 1908/09 (MfB) Chemie – U Berlin, NW 6 Philippstr. 9.Professor am Lehrerbildungsinstitut Tôkyô Kôtô Shihan Gakkô. Publik. u.a. Kagaku to jinsei 化學と人生 (Chemie und menschliches Leben), Yôsetsu shin muki kagaku 要説新無機化学 (Abriss der neuen anorganischen Chemie), Yôsetsu yûki kagaku 要説有機化学 (Abriss der organischen Chemie), Shinsei kagaku kyôkasho 新制化學教科書 (Neueres Lehrbuch der Chemie, 2 Bde)."
648,Kamibayashi Ryûjô 神林隆浄,Tôkyô,7.7.1876–11.2.1963,"WS 1913/14–SS 1914 Philosophie – U Straßburg, Oberlindstr. 31."
649,Kamiki Kensuke,-,-,1913–1914 Ingenieurwesen in Berlin.
650,Kamimura Jûgi 上村従義,-,-,Jan.–März 1913 Studium der deutschen Sprache im deutschen Pachtgebiet Qingdao ♦ Okt. 1913–Sept. 1914 (Armee) Militärstudien als Kaptänleutnant in Berlin.
651,Kamimura Tetsuzô (Yuge) 上村哲三 (弓削),Kagoshima-ken,13.7.1878–,"SS 1907–WS 1910/11 Nationalökonomie – U Berlin, Zehlendorf, Parkstr. 7.April 1903–1907 als Diplomat in Berlin und 1910–1914 in Hamburg."
652,Kamimura Yoshinori,-,-,1913–1914 (Marine) Militärstudien in Kassel und Berlin.
653,Kamio Mitsuomi 神尾光臣,"Suwa, Nagano-ken",27.2.1855–15.2.1927,"1900 (Armee) Militärstudien als Oberst in Berlin.General, führte 1914 die japanischen Belagerungstruppen vor Qingdao im Krieg gegen Deutschland, erhielt für seinen Erfolg 1916 den Generalstitel und wurde zum Baron geadelt, war bis 1919 Gouverneur von Qingdao."
654,Kamio Sanpaku 神尾三伯,Kumamoto-ken,15.7.1877–,"SS 1909–SS 1911 Medizin (Gynekologie) – U München, Pettenkoferstr. 17/1; Lindwurmstr. 24/1; Schnellertr. 19/2 l.Dr. med. 1910, München: Missbildung durch amniotische Fäden. 55 S., 1 Taf.Arzt in Kumamoto."
655,Kamioka Kojirô,Nagano,-,"SS 1909 Medizin – U München, Maistr. 24/1."
656,Kamishima Yoshiatsu,Nagano-ken,1.1.1886–,"WS 1912/13–SS 1914 Ingenieurwesen (Elektrotechnik) – TH Berlin, Charlottenburg, Niebuhrstr. 63/Gh."
657,Kamiya Toyotarô 神谷豊太郎,Wakayama-ken,Juni 1868–,"1903–1905 (MfB) Ingenieurwesen (Hüttenkunde) ♦ WS 1903/04–SS 1904 – BA Freiberg, Poststr. 2 ♦ SS 1904/05–SS 1905 – TH Berlin, Charlottenburg, Goethestr. 17/1.Professor der Technischen Hochschule Port Arthur Ryôjun Kôkagakudô."
658,Kamiyama Kojirô 上山小二郎,Yamaguchi-ken,1872–,"1894–1897 Ingenieurwesen ♦ SS 1894 Chemie – TH Dresden, Strehlener Str. 21/1 ♦ WS 1894/95–SS 1897 Hüttenkunde – BA Freiberg, Petriplatz 3."
659,Kamoi Takeshi 鴨居武,Kagawa-ken,3.8.1864–6.8.1960,"WS 1905/06–SS 1906 (MfB) Chemie – TH Berlin, Charlottenburg, Pestalozzistr. 12.Professor an der Tôkyô-Universität."
660,Kamon Keitarô 加門桂太郎,Okayama-ken,Dez. 1864–15.4.1935,"Febr. 1903–Juni 1906 (MfB) Medizin (Anatomie) ♦ SS 1903–SS 1905 – U Würzburg, Ludwigstr. 12 und 14 ♦ WS 1905/06 – U Berlin, NW Karlstr. 46.Professor der Kyôto-Universität."
661,Kanai En (Nobu) 金井延,Shizuoka-ken,1.2.1865–13.8.1933,"Mai 1886–Nov. 1890 (MfB) Kameralistik ♦ WS 1886/87–SS 1887 – U Heidelberg, Leopoldstr. 26, bei Prof. Dr. Müller ♦ WS 1887/88–SS 1888 – U Halle, Carlstr. 5 ♦ WS 1888/89 – U Berlin, Behrensstr. 49.Professor der Tôkyô-Universität, machte Japan mit den Theorien der deutschen historischen Schule bekannt, 1896 Mitbegründer der Shakai Seisaku Gakkai, 1908 Mitglied des Gakushiin. Publik. u.a. Shakai seisaku ron 社會政策論 (Über Sozialpolitik), Keizai genron 経済原論 (Wirtschaftsprinzipien), Keizaigaku sôron 經濟學總論 (Einführung in die Wirtschaftswissenschaft), Shakai keizaigaku 社會經濟學 (Soziale Wirtschaftslehre)."
662,Kanai Takeshi,Tôkyô,-,"SS 1886–SS 1889 Recht – U Berlin, NW Dorotheenstr. 96 ♦ WS 1889/90–WS 1891/92 Kameralistik – U Erlangen, Kasernstr. 12, 18 und 4."
663,Kanasugi Hidegoro (Eigorô) 金杉英五郎,Tôkyô,13.7.1865–26.1.1942,"1889–1891 Medizin (HNO-Krankheiten) ♦ SS 1889 – U Würzburg, Pleicher Thorgasse 22 ♦ WS 1889/90–SS 1890 – U Erlangen, Wels ♦ WS 1890/91–WS 1891/92 – U Würzburg, Kaiserstr. 15; Semmelstr. 85/3.Dr. med. 1890, Erlangen: Casuistische Beiträge zur Kenntnis der Syringomyelie. 21 S.Gründete nach seiner Rückkehr 1892 in Kanda, Tôkyô, das erste Hospital für Hals-, Nasen-, Ohrenkrankheiten in Japan, 1921 Präsident des Tôkyô-Hospitals der Jikeikai (Assoziaton für Wohltätigkeit), Mitglied des Abgeordnetenhauses Shûgiin (1917) und des Adelshauses Kizokuin (1922). Publik. u.a. Beiträge zur topographisch-chirurgischen Anatomie der Pars Mastoidea (1908), Saikin jibi inkô kagaku narabi ni sono kyôiki 最近耳鼻咽喉科學並に其境域 (Die moderne Wissenschaft von den Hals-, Nasen- und Ohrenkrankheiten und deren Grenzen), Hana to mimi no byôki 鼻と耳の病気 (Nasen- und Ohrenerkrankungen)."
664,Kanaya Hanzô 金谷範三,"Takada-chô, Ôita-ken",1873–5.6.1933,"Febr. 1906–Mai 1907 (Armee) Militärstudien als Major in Weimar ♦ nahm im Sept. 1907 gemeinsam mit General Nishi¬ an einer Parade des 2. Gardekorps als Beobachter teil ♦ Mai 1907–Juni 1909 Militärattaché in Berlin.General, 1918–1919 Kommandeur der japanischen Armee in China und 1927–1929 in Korea, 1923 Sekretär des Obersten Kriegsrates und 1929–1930 sowie 1931–1933 Mitglied desselben, 1930–1931 Generalstabschef der Armee, mitverantwortlich für den Ausbruch des Manshû-jihen 1931, der die Besetzung der Mandschurei initiierte."
665,Kanbe Masao 神戸正雄,"Aichi-ken, Shinomiya",19.4.1877–16.10.1959,"WS 1904/05 (MfB) Kameralistik – U Göttingen, Kirchweg 1a ♦ SS 1905–SS 1906 (MfB) Recht – U Würzburg, Schillerstr. 6 ♦ erneut 1913–1914 in Würzburg und Berlin.Ökonom, Finanzwissenschaftler, 1907 Professor der Kyôto-Universität, 1937 Präsident der Kansai-Universität, Mitglied der Japanischen Akademie Nihon Gakushiin, 1947 Bürgermeister von Kyôto. Publik. u.a. Der Russisch-Japanische Krieg und die japanische Volkswirtschaft (1906), Die Entwicklung der japanischen Volkswirtschaft in der Gegenwart (Leipzig 1914), Zaiseigaku 財政學 (Finanzwissenschaft), Keizaigaku yôron 經濟學要論 (Abriss der Wirtschaftswissenschaft), Mitautor von Shakaishugi oyobi shakai undô 社會主義及社會的運動 (Sozialismus und soziale Bewegung)."
666,Kanbe Torajirô 神戸寅次郎,"Kanbara-chô, Shizuoka-ken",27.12.1868–17.5.1939,"1899–1902 Recht ♦ WS 1899/1900–WS 1900/01 – U Halle, Fürstenthal 2; Alter Markt 25 ♦ SS 1901 – U Berlin, NW Calvinstr. 6 ♦ WS 1901/02–SS 1902 – U Halle, Henriettenstr. 20.Dr. jur. 1902, Halle: Die offene Handelsgesellschaft nach japanischem Rechte. 113 S.Dekan der Juristischen Fakultät der Keiô-Universität. Publik. u.a. Keiyaku kaijo ron 契約解除論 (Über die Aufhebung von Verträgen), Kenrishichiron 權利質論 (Über Rechtspfänder), Minpô ronsan 民法論纂 (Kompilation von Aufsätzen zum Zivilrecht)."
667,Kanbe Toshirô,Nagoya,11.12.1880–,"1910–1914 Medizin ♦ SS 1910 – U Marburg, Biegenstr. 38 ♦ WS 1910/11–SS 1914 – U Jena, Grietgasse 11; Bismarckstr. 5; Lutherstr. 53; Herderstr. 5; Dornburger Str. 32; Paulinenstr. 23."
668,Kanda Reiji 神田礼治,Gifu-ken,25.8.1857–23.12.1938,"1893–1894 Ingenieurwesen ♦ WS 1893/94–SS 1894 Hüttenkunde – BA Freiberg, Stollengasse 1.Direktor der Bergbau-AG Kyôritsu Kôgyô KG, Berater im Bergbauunternehmen Mitsubishi Kôgyô."
669,Kanehara Shinji 金原信二,Tôkyô,Juni 1875–,"1909–1910 (RI) Agrarstudien (Tabak) in Bickenbach, Zigarrenfabrik A.H. Thorbecke & Co."
670,Kaneko Jirô 金子治郎,Ishikawa-ken,4.6.1858–29.12.1937,Aug. 1902–Dez. 1904 (MfB) Medizin ♦ WS 1903/04 Anatomie – U Halle.Professor der Medizinischen Hochschule Kanazawa Ika Daigaku.
671,Kaneko Kyôsuke 金子恭輔,Niigata-ken,29.3.1882–1966,"1910–Sept. 1913 (MfB) Ingenieurwesen (Hüttenkunde) ♦ SS 1910 – BA Freiberg, Donatsgasse 2 ♦ SS 1911 Bergbau – BA Clausthal ♦ WS 1911/12–SS 1913 – TH Aachen, Mauerstr. 40; Löbergraben 8; Lütticher Str. 3.Dr. Ing. 1913, Aachen: Zur Kenntnis der Legierungen des Kobalts mit Nickel und mit Eisen. 15 S., 3 Taf.Professor der Kyûshû-Universität, Vorstandsdirektor der Kaigai kôgyô kyôkai 海外鉱業協会.(Liga für Überseebergbau). Publik. u.a. Ei-Doku-Wa - Doku-Ei-Wa kinzoku kôgaku jiten 英独和・独英和金属工学辞典 (Wörterbuch der Metallurgie Englisch-Deutsch-Japanisch und Deutsch-Englisch-Japanisch), Tasumania no kôsan shigen タスマニヤの鑛産資源 (Die Bergbauquellen von Tasmanien)."
672,Kaneko Noboru 金子登,Ehime-ken,23.11.1870–13.8.1933,"SS 1905 (MfB) Ingenieurwesen (Maschinenbau) – TH Berlin, Charlottenburg, Tauentzienstr. 24.Professor der Tôkyô-Universität und der Kyôto-Universität. Publik. u.a. Suiryoku 水力 (Wasserkraft)."
673,Kaneko Umaji (Chikusui) 金子馬治 (筑水),Tôkyô,10.1.1870–1.6.1937,"1900–1903 Philosophie ♦ WS 1900/01 – U Heidelberg, Kaiserstr. 61, bei Gamber2 ♦ SS 1901–SS 1902 – U Leipzig, Wächterstr. 26/2; Promenadenstr. 26/32 ♦ WS 1902/03 – U Berlin, Spenerstr. 14a ♦ SS 1903 Philosophie – U Leipzig.Dr. phil. 1904, Leipzig: Moralphilosophie Adam Ferguson’s. 68 S.Professor der Waseda-Universität, machte Japan mit europäischer Philosophie bekannt, Theater- und Literaturkritiker, Direktor des Theater-Museums. Publik. u.a. A survey of philosophy in Japan, 1870-1929 (1929), Ôshû shisô taikan 歐洲思想大觀 (Überblick über europäische Ideologie), Gendai tetsugaku gairon 現代哲学概論 (Einführung in die moderne Philosophie), Tetsugaku gairon 哲學概論 (Abriss der Philosophie, 2 Bde)."
674,Kanematsu Shûkichi 兼松習吉,Shiga,1874–,"Febr. 1900–Okt. 1903 (Armee) Militärstudien als Leutnant in Berlin und Dresden, Dienst bei der Feldartillerie in Sachsen.Generalmajor, Lektor an der Artillerieschule."
675,Kani (Kaji) Iwakichi 可児岩吉,Gifu-ken,Jan. 1871–Okt. 1920,"1907–1909 (MfB) Veterinärstudien in München.Veterinär, Professor der Agrarhochschule Morioka Kôtô Nôrin Gakkô, Armeeveterinär. Publik. u.a. Investigations on the pathological anatomy of infectious anaemia of the horse, Saishin kachiku byôrigaku sôron (Untertitel: Allgemeine Pathologie für Tierärzte)."
676,Kanô Jigorô 嘉納治五郎,Kôbe-shi,28.10.1860–4.5.1938,"Aug. 1889–1891 (MfK) Pädagogik.Jûdô-Experte, Direktor der 1. und 5. Mittelschule sowie des Lehrerbildungsinstuts Tôkyô Kôtô Shihan Gakkô, Professor der Adelsschule Gakushûin, Beamter im MfB, 1922 Mitglied des Adelshauses. Publik. u.a. Kanô Jigorô den 嘉納治五郎伝 (Biografie des Kanô Jigorô), Kanô Jigorô chosakushû 嘉納治五郎著作集 (Gesammelte Werke von Kanô Jigorô), Mind over muscle: writings from the founder of Judo."
677,Kanô Sakutarô 加納作太郎,Gifu-shi,19.8.1872–18.9.1910,"1908–1909 Medizin (HNO-Krankheiten) ♦ SS 1908 – U München, Augsburger Str. 10/0 l. 2 ♦ WS 1908/09–SS 1909 – U Erlangen, Luitpoldstr. 28.Dr. med. 1909, Erlangen: Aus der Universitätsklinik für Ohren-, Nasen- und Kehlkopfkrankheiten zu Erlangen. Über das Verhalten der Stria vascularis bei angeborener Taubstummheit. 41 S.Chirurg."
678,Kano Sôzô 狩野宗三,Tôkyô,1883–1.5.1955,Febr. 1908–1909 Ingenieurwesen.Ingenieur bei Onoda Cemento KG.
679,Kanokogi Kazunobu 鹿子木員信,Yamanashi-ken,3.11.1884–23.12.1949,"1910–1913 Philosophie ♦ WS 1910/11–SS 1911 – U Jena, Am Landgrafen 32 ♦ WS 1911/12 – U Berlin, N 4 Schröderstr. 72 ♦ SS 1912 – U Jena, Marienstr. 12 ♦ WS 1912/13 – U Berlin.Dr. phil. 1912, Jena: Das Religiöse. Ein philosophischer Versuch. 100 S.Professor der Keiô- und Kyûshû-Universität, 1927 Gastprofessor am Lehrstuhl für Japanologie der Berliner Universität, 1941 erneut Vorlesungen daselbst; als aktiver Befürworter des Krieges wurde er nach 1945 als Kriegsverbrecher der Klasse A eingekerkert, dann mit Berufsverbot belegt. Publik. u.a. Der Geist Japans (1930), Fukkô Doitsu no seishin to Nihon seishin no shiteki hatten 復興獨逸の精神と日本精神の史的發展 (Die Renaissance des deutschen Geistes und die historische Entwicklung des japanischen Geistes), Yamato kokoro to Doitsu seishin やまとこゝろと獨乙精神 (Japanisches Herz und deutscher Geist, 1931), Nihon seishin no tetsugaku 日本精神の哲學 (Die Philosophie des japanischen Geistes)."
680,Karaki Yasuzô 唐木保蔵,"Ina, Nagano-ken",21.9.1870–,"SS 1905–SS 1907 Medizin (Gynekologie) – U München, Pettenkoferstr. 17/3.Dr. med. 1906, München: Perforationen und Kranioklasien aus der Münchner kgl. Universitäts-Frauenklinik 1900-1905 inclusive München 1906. 83 S.Arzt."
681,Karasaki Gorô 唐崎五郎,Chôshû,11.5.1860–2.6.1883,"1877–1880 Recht ♦ WS 1877/78–SS 1879 – U Jena, bei D. Henkel ♦ WS 1879/80 – U Berlin, N Artilleriestr. 8.Literatur u.a. Iêna daigaku no saishô no nihonjin ryûgakusei Karasaki Gorô イエ–ナ大学の最初の日本人留学生唐崎五郎 (Karasaki Gorô – erster japanischer Student an der Universität Jena) von Kamimura Naoki."
682,Karasawa Mitsunori 唐沢光徳,"Nihonbashi, Tôkyô",20.10.1878–30.3.1949,"Mai 1908–1909 Medizin in München.Kinderarzt, Professor der Keiô-Universität. Publik. u.a. Jika shohô shinsho 兒科處方新書 (Neues Rezeptbuch der Kinderheilkunde), Jidô no shokumotsu 兒童の食物 (Kindernahrung)."
683,Karashima Itaru 辛島格,Ôita-ken,11.12.1875–,"WS 1911/12–WS 1912/13 Medizin – U München, Maistr. 31/2 l.Dr. med. 1912, München: Ein Fall von Situs inversus viscerum totalis. 38 S., 1 Taf.Arzt in Toyonaka."
684,Karazawa Junkichi 唐沢隼吉,Kyôto,14.4.1881–,"SS 1913–SS 1914 (SME) Medizin – München, Maistr. 3/4 l.; Ringseisstr.2/2.Dr. med. 1914, München: Über die Hebosteotomie. 71 S.Arzt im Hospital der Südmandschurischen Eisenbahn Mantetsu Byôin."
685,Kasahara Chikafumi 笠原親文,Iwate-ken,10.9.1866–,"SS 1889–WS 1893/94 Medizin – U Jena, Löbdergr. 5.Dr. med. 1895, Jena: Untersuchungen über das specifische Gewicht des Blutes bei gesunden und kranken Menschen. 22 S."
686,Kasahara Mitsuoki 笠原光興,Shizuoka-ken,Dez. 1862–27.5.1913,"SS 1894–WS 1895/96 Medizin (Innere) – U Berlin, Flemmingstr. 6 ♦ 1903 erneut in Berlin.Professor der Kyôto-Universität."
687,Kasai (Kawanishi) Kenji 河西健次,"Wada-mura, Nagano-ken",17.3.1868–14.5.1927,"Mai 1906–1908 (Armee) Medizin.Militärarzt, Chefarzt im Dairen-Hospital der SME, erster Direktor der Medizinischen Hochschule der SME, Gründer des Musashino-Hospitals in Shinjuku."
688,Kasai Koreichi (Korekazu) 河西惟一,Nagano,-,Aug. 1913–Okt. 1913 (Armee) Militärstudien als Oberstleutnant.Generalleutnant.
689,Kasai Shinzô 笠井真三,Yamaguchi-shi,12.10.1873–19.5.1942,"Aug. 1890–Sept. 1896 Ingenieurwesen ♦ 1890–1892 Gewerbeschule in Hamburg ♦ SS 1892–SS 1894 Chemie – TH Braunschweig ♦ WS 1894/95–WS 1895/96 Chemie – U München, Theresienstr. 108/1; Herzog-Maxstr. 4/2 r. ♦ 1908 erneut in Berlin.Dr. phil. 1896, München: Die wasserhaltigen Aluminiumsilikate. 35 S.Präsident der Onoda-Cemento KG. Literatur: u.a. Biografie Kasai Shinzô 笠井真三 (1954)."
690,Kasai W.,-,-,1910–1912 Ingenieurwesen in Essen und Berlin.
691,Kasamo Kamon 笠茂掃部,Kagoshima,13.8.1881–,"SS 1910–WS 1910/11 Medizin (Chirurgie) – U München, Maistr. 29/3; Waltherstr. 30/2 l.Dr. med. 1911, München: Pathologische und spontane Frakturen. 90 S.Arzt in Asahikawa."
692,Kasashima Yôzô 笠島陽三,Niigata,8.3.1874–,GH WS 1911/12 Medizin (Gynekologie) – U Tübingen.Arzt in Sendai.
693,Kashii Hideichi 香椎秀一,Fukuoka-ken,1881–,1912 (Armee) Militärstudien als Hauptmann in Berlin.Generalleutnant.
694,Kashimura Seitoku (Kiyonori) 樫村清徳,"Yonezawa, Yamagata-ken",Nov. 1848–11.7.1902,"1884–1885 Medizin.Professor an der Tôkyô-Universität, Okt. 1886 Gründer des Sanryûdo-Hospitals in Tôkyô, galt zu seiner Zeit als einer der besten Ärzte Japans. Publik. u.a. Shinsan yakubutsugaku 新纂薬物学 (Neuere Pharmazie), Naika byôron 内科病論 (Über innere Krankheiten; Übersetzung einer dreibändigen Arbeit von Erwin Baelz, 1882-1883), Mitautor von Nihon yakkyokuhô zuihan 日本藥局方随伴 (Begleiter japanischer Apotheken; 2 Bde, 1887)."
695,Kashimura Shôgo 樫村正五,Tôkyô,1876–,"1896–1904 Medizin ♦ SS 1896–SS 1902 – U Berlin, Wadzeckstr. 17 / 18 ♦ SS 1903–WS 1903/04 – U Rostock, Schmiedestr. 11; Hopfenmarkt 19.Eigner des Sanryûdô-Hospitals."
696,Kashiwabara Mitsutarô 柏原光太郎,Kagawa-ken,13.8.1877–,"SS 1911–SS 1913 Medizin (Innere) – U Berlin, W 62 Bayreutherstr. 39.Direktor des Kashiwabara Hospitals in Ôsaka."
697,Kashiwabara Seiji (Shôshi) 柏原省私,-,-,1909–1913 Medizin in BerlinArzt in Tôkyô.
698,Kashiwado Tomekichi 柏戸留吉,Chiba-ken,5.1.1878–6.8.1941,"Juni 1909–Mai 1912 (LB) Medizin (Innere) ♦ WS 1909/10–SS 1910 – U Berlin, NW 6 Luisenstr. 67 ♦ SS 1910–WS 1910/11 – U Halle, Magdeburgerstr. 53 ♦ WS 1911/12 – U Halle, Forsterstr. 32.Professor der Medizinischen Hochschule Chiba Ika Daigaku, Direktor des Kashiwado Hospitals. Publik. u.a. Mitautor von Inoue naika shinsho 井上内科新書 (Inoues neue Bücher zur inneren Medizin, Bde. 1–3, 1929–1935)."
699,Kashiwamura Sadaichi (Teiichi) 柏村貞一,Yamaguchi-ken,19.8.1861–9.12.1910,"Juli 1900–Okt. 1902 (MfB) Medizin (Pathologie) ♦ WS 1900/01–SS 1902 – U Berlin, NW 6, Luisenstr. 47.Hofarzt."
700,Kashiwamura Yônojô 柏村庸之丞,"Hagi, Chôshû",23.7.1849–19.8.1912,"1870–1873 (Armee) Militärstudien in Deutschland und Frankreich ♦ März 1880–März 1884 Militärattaché in Berlin ♦ 1906–Aug. 1912 erneut in Berlin, hier verstorben.Direktor der Firma Shinagawa Glas."
701,Katagiri Tôru 片桐徹,Shizuoka,3.10.1870–,"1901–1904 Medizin ♦ SS 1902–WS 1902/03 – U Würzburg, Ludwigstr. 23/0 ♦ SS 1903–WS 1903/04 – U Erlangen, Bohlenplatz 17.Dr. med. 1904, Erlangen: Über Puerperal-Eklampsie mit besonderer Berücksichtigung der Nieren- und Leber-Veränderungen. 42 S."
702,Katahira Shigetsugu 片平重次,Yokohama,30.11.1888–,"SS 1912–WS 1913/14 Medizin (Innere) – U München, Mittenwaldstr. 10; Adelgrundenstr. 6; Mozartstr. 19/0.Dr. med. 1913, München: Über den Zusammenhang der Menstruation und Psychose oder die Menstruationspsychose. 19. S.Direktor des Odawara-Präfektur-Hospitals."
703,Kataoka Shichirô 片岡七郎,Kagoshima-ken,12.1.1854–2.1.1920,"1877–1878 und 1889–1894 (Marine) Militärstudien ♦ 1877–1878 mit Yamamoto Gonnohyoe Ausbildung auf den deutschen Marineschiffen Vineta und Leipzig ♦ Okt. 1889–Sept 1894 als Korvettenkapitän, zunächst Begleiter des Prinzen Yama-shina no miya Kikumaro¬ ♦ ab Mai 1890–Sept. 1894 Marineattaché in Berlin.Admiral, als Kapitän des Kreuzers Kongo im Japanisch-Chinesischen Krieg 1894/95 an der Eroberung von Weihaiwei und der Penghu-Inseln, im Russisch-Japanischen Krieg 1904/05 als Flottenkapitän an der Schlacht bei Tsushima beteiligt, 1907 zum Baron geadelt, Publik. u.a. Kokumin gakkô kyôiku to ichigenteki tachiba ni tatsu shônendan kunren no jissen 國民學校教育と一元的立場に立つ少年團訓練の實踐 (Die Volksschulerziehung und die Praxis der auf einheitlichem Standpunkt stehenden Militärausbildung der Jugend, 1941)."
704,Katayama Hôrin (Yoshimoto) 片山芳林,Nagano-ken,4.12.1853–16.10.1921,"WS 1894/95–SS 1895 (MfK) Medizin (Chirurgie) – U Berlin, NW 6 Luisenstr. 54.Hofarzt.Publik. u.a. Naika chihô kinnô 内科治法綿嚢 (Schatz der Heilmethoden innerer Krankheiten)."
705,Katayama Katsuzô 片山勝蔵,Saitama-ken,28.6.1882–,"WS 1907/08–SS 1909 Medizin (Innere) – U Würzburg, Adelgundestr. 8/1.Dr. med. 1909, Würzburg: Untersuchung über die Hemmung der Hämolyse durch menschliches Serum. 52 S.Arzt in Saitama-ken."
706,Katayama Kuniyoshi (Kunika) 片山国嘉,"Tôtômi, Shizuoka-ken",7.7.1855–3.11.1931,"1884–1888 (MfB) Medizin (Immunologie) ♦ WS 1884/85–SS 1885 – U Berlin, N 4 Kesselstr. 20 ♦ WS 1887/88–SS 1888 – U Berlin, NW Schumannstr. 23.Professor der Tôkyô-Universität, gründete an dieser nach deutschem Vorbild das erste gerichtsmedizinische Institut Japans. Publik. u.a. Hôigaku teikô 法醫學提綱 (Hauptpunkte der Gerichtsmedizin, Bde. 1–2, 1890–1891), Keihô kaisei shikô 刑法改正私考 (Persönliche Sicht zur Revision des Strafrechts, 1893), Übersetzung der Arbeit von E. Hofmann Atlas der gerichtlichen Medicin (japanisch Hôigaku zufu 法醫學圖譜, 1902), Kinshu seiyaku ron 禁酒誓約論 (Über Enthaltsamkeitsgelübde), Kinshu nyûmon 禁酒入門 (Einführung in die Abstinenz), Guntai geka shujutsu 軍陣外科手術 (Chirurgische Operationen in der Armee, Übersetzung einer Arbeit von Friedrich von Esmarch, 1883)."
707,Katayama Kuniyuki 片山国幸,Tôkyô,18.9.1884–16.2.1962,"1910–1914 Medizin, darunter 1913–1914 in Würzburg.Professor der Medizinischen Hochschule Jikeikai Ika Daigaku. Publik. u.a. Ippan ika ni hitsuyô naru seikei geka 一般醫家に必要なる整形外科 (Notwendige orthopädische Chirurgie für einen Allgemeinmediziner), Rinshô seikei geka 臨牀整形外科 (Klinisch-orthopädische Chirurgie)."
